id;id_ex;siret;gestion;date_creat;date_publi;nature;groupement;titre;objet;objet_social1;objet_social2;adr1;adr2;adr3;adrs_codepostal;libcom;dir_civilite;siteweb;observation;position;rup_mi;maj_time
"542S0542000540";"0542000540";"";"542S";"0001-01-01";"0001-01-01";"D";"S";"ASSOCIATION FAMILIALE RURALE DE LANEUVEVILLE AUX BOIS -EMBERMENIL";"ETUDE ET DEFENSE DES DROITS ET DES INTERETS MORAUX ET MATERIELS DES FAMILLES";"019005";"000000";"SALLE POLYVALENTE";"";"";"54370";"LANEUVEVILLE-AUX-BOIS";"PM";"";"W542005300";"R";"";"2025-03-17 10:37:36"
"542S0542000576";"0542000576";"";"542S";"0001-01-01";"1948-03-20";"D";"S";"UNION SPORTIVE DE BACCARAT";"O";"011000";"000000";"Hotel de ville";"";"";"54120";"BACCARAT";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-01-13 14:15:08"
"542S0542000597";"0542000597";"";"542S";"0001-01-01";"0001-01-01";"D";"S";"ASSOCIATION AMICALE DES ANCIENS ELEVES DU LYCEE BICHAT ET DE LA CITE SCOLAIRE";"Entretenir les bonnes relations contractées au collège, et de venir en aide à ceux des condisciples, fonctionnaires ou anciens fonctionnaire qui, sans avoir démérité, seraient tombés dans le malheur. L'assistance s'étendra à leurs veuves et à leurs enfants.";"015070";"000000";"Lycée Bichat";"";"";"54300";"LUNEVILLE";"PM";"";"";"A";"";"2006-01-13 14:15:10"
"542S0542000611";"0542000611";"";"542S";"0001-01-01";"1949-02-06";"D";"S";"AMICALE DES ANCIENS DE LA 2EME DIVISION DE CAVALERIE ET DE L'ARME BLINDEE CAVALERIE";"O";"010020";"000000";"Chez Mr Roland BOULANGER";"61, Grande rue";"";"54450";"ANCERVILLER";"PM";"";"W542004899";"R";"";"2019-05-15 11:27:42"
"542S0542000617";"0542000617";"";"542S";"0001-01-01";"0001-01-01";"D";"S";"ASSOCIATION LUNEVILLOISE POUR LA FORMATION FAMILIALE MENAGERE ET SOCIALE DES JEUNES";"Formation familiale ménagère et sociale des jeunes";"015035";"000000";"6, rue de Viller";"";"";"54300";"LUNEVILLE";"PM";"";"";"D";"";"2006-01-13 14:15:10"
"542S0542000648";"0542000648";"";"542S";"0001-01-01";"0001-01-01";"D";"S";"ASSOCIATION D'ENTRAIDE ET D'EDUCATION POPULAIRE";"Créer et entretenirdes oeuvres d'éducation populaire, des oeuvres sociales et d'entr'aides.";"009025";"000000";"";"";"";"54480";"VAL-ET-CHATILLON";"PM";"";"";"A";"";"2006-01-13 14:15:10"
"542S0542000667";"0542000667";"";"542S";"0001-01-01";"1934-05-06";"D";"S";"ASSOCIATION DES COMMUNES FORESTIERES DU DEPARTEMENT DE MEURTHE-ET- MOSELLE";"Defense proprietaire foret";"000000";"000000";"Mairie";"";"";"54480";"VAL-ET-CHATILLON";"PM";"";"W542001446";"R";"";"2015-04-23 10:27:58"
"542S0542000674";"0542000674";"";"542S";"0001-01-01";"1952-03-19";"D";"S";"ASSOCIATION SPORTIVE MARAINVILLER";"Football";"011075";"000000";"Mairie";"";"";"54300";"MARAINVILLER";"PM";"";"reprise auto => date publication création au JO à vérifier";"D";"";"2006-01-13 14:15:08"
"542S0542000677";"0542000677";"";"542S";"0001-01-01";"1952-06-14";"D";"S";"AMICALE DES POMPIERS D'HABLAINVILLE";"Réaliser diverses manifestations ouvertes à tous (repas dansants, danse du coq lors de la fête patronale)";"036010";"000000";"Mairie";"14, Grande rue";"";"54120";"HABLAINVILLE";"PM";"";"W542001291";"R";"";"2013-11-25 11:23:04"
"542S0542000683";"0542000683";"";"542S";"0001-01-01";"1952-08-31";"D";"S";"COMMUNE LIBRE DE MENIL";"O";"007000";"000000";"34, rue de menil";"";"";"54300";"LUNEVILLE";"PM";"";"W542001440";"R";"";"2015-03-24 16:52:34"
"542S0542000702";"0542000702";"";"542S";"0001-01-01";"1953-07-03";"D";"S";"UNION SPORTIVE BACCHAMOISE";"O";"011020";"000000";"";"";"";"54120";"BACCARAT";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-01-13 14:15:08"
"542S0542000706";"0542000706";"";"542S";"0001-01-01";"0001-01-01";"D";"S";"ASSOCIATION SAINT PAUL";"Organiser, faire fonctionner, aider, abriter ou favoriser les oeuvres pouvant concourir au bien physique et matériel, intellectuel, moral et religieux de la population de la commune d'Ancerviller, notamment les oeuvres d'éducation, d'enseignement, depréservation, de patronage, d'assistance, et de soins matériels, etc...";"014000";"000000";"Place de l'Eglise";"";"";"54450";"ANCERVILLER";"PM";"";"W542005091";"R";"";"2022-06-22 10:01:41"
"542S0542000717";"0542000717";"";"542S";"0001-01-01";"0001-01-01";"D";"S";"GROUPEMENT D'ACTION ECONOMIQUE DE LUNEVILLE";"Encourager le développement de la vie économique de la ville.";"022000";"000000";"Mairie";"";"";"54300";"LUNEVILLE";"PM";"";"";"A";"";"2006-01-13 14:15:10"
"542S0542000725";"0542000725";"";"542S";"0001-01-01";"1954-10-20";"D";"S";"FOYER RURAL D'ARRACOURT";"Foyer";"000000";"000000";"Mairie";"";"";"54370";"ARRACOURT";"PM";"";"W542001625";"R";"";"2017-05-11 15:49:28"
"542S0542000734";"0542000734";"";"542S";"0001-01-01";"1955-03-01";"D";"S";"MAISON DES JEUNES ET DE LA CULTURE DE BADONVILLER";"Jeunes";"000000";"000000";"Mairie";"";"";"54540";"BADONVILLER";"PM";"";"W542001571";"R";"";"2016-09-19 11:36:31"
"542S0542000736";"0542000736";"";"542S";"0001-01-01";"1955-03-16";"D";"S";"FOYER RURAL DE FLIN";"Foyer";"000000";"000000";"Mairie";"";"";"54120";"FLIN";"PM";"";"W542001324";"R";"";"2014-03-19 13:25:46"
"542S0542000741";"0542000741";"";"542S";"0001-01-01";"1955-06-11";"D";"S";"UNION COMMERCIALE ET ARTISANALE BLAMONTAISE";"O";"014000";"000000";"Mairie";"";"";"54450";"BLAMONT";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-01-13 14:15:08"
"542S0542000744";"0542000744";"";"542S";"0001-01-01";"1955-08-30";"D";"S";"FOYER RURAL DE SAINT-MAURICE-AUX-FORGES";"Foyer";"000000";"000000";"Mairie";"";"";"54540";"SAINT-MAURICE-AUX-FORGES";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-01-13 14:15:08"
"542S0542000773";"0542000773";"";"542S";"0001-01-01";"0001-01-01";"D";"S";"ASSOCIATION LORRAINE 'SON ET LUMIERE' A LUNEVILLE";"Organisation et mise en oeuvre d'un spectacle 'SON ET LUMIERE' au château de Lunéville et, généralement organisation et mise en oeuvre de spectacles et manifestations qui intéresseraient le château de Lunéville.";"006030";"006000";"Château de Lunéville";"";"";"54300";"LUNEVILLE";"PM";"";"";"A";"";"2006-01-13 14:15:10"
"542S0542000774";"0542000774";"";"542S";"0001-01-01";"1957-03-23";"D";"S";"FOYER RURAL DE LA FAMILLE ET DES JEUNES DE LOROMONTZEY";"Foyer rural";"000000";"000000";"";"";"";"54290";"LOROMONTZEY";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-01-13 14:15:08"
"542S0542000776";"0542000776";"";"542S";"0001-01-01";"1957-07-16";"D";"S";"MAISON DES OEUVRES SCOLAIRES ET POSTSCOLAIRES (F.J.E.P.)";"Oeuvres scol oeuv.post sc f.j.e.p.";"000000";"000000";"13, rue Cheron";"";"";"54300";"LUNEVILLE";"PM";"";"reprise auto => date publication création au JO à vérifier";"A";"";"2006-01-13 14:15:08"
"542S0542000777";"0542000777";"";"542S";"0001-01-01";"1957-09-09";"D";"S";"FOYER RURAL DE SAINTE-POLE";"Foyer rural";"000000";"000000";"";"";"";"54540";"SAINTE-POLE";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-01-13 14:15:08"
"542S0542000792";"0542000792";"";"542S";"0001-01-01";"0001-01-01";"D";"S";"UNION DES COMMERCANTS ET ARTISANS DE CIREY (UCACC)";"Créer entre tous les commerçants de Cirey des liens d'amitié et de solidarité, renforcer la défense de leurs intérêts généraux, organiser des manifestaitons propres à développer le commerce local, établir la liaison avec les commerces des villes voisines.";"022535";"000000";"Chez Mme Catherine GEORGES";"2, rue Joffre";"";"54480";"CIREY-SUR-VEZOUZE";"PM";"";"W542001479";"R";"";"2015-08-04 13:41:38"
"542S0542000822";"0542000822";"";"542S";"0001-01-01";"0001-01-01";"D";"S";"SOCIETE D'EQUITATION DE LUNEVILLE";"S'intéresser à toutes les questions concernant le cheval, notamment : - de faire renaître dans les milieux urbains le goùt de l'équitation - de former des cavaliers.";"011050";"000000";"65, rue de Viller";"";"";"54300";"LUNEVILLE";"PM";"";"";"A";"";"2006-01-13 14:15:10"
