Code_departement,Libelle_departement,Code_Nuance,Voix_T1,pct_Voix_Ins_T1,pct_Voix_Exp_T1,Sieges_T1,Voix_T2,pct_Voix_Ins_T2,pct_Voix_Exp_T2,Sieges_T2
9,ARIEGE,EXG,0.0,1489.0,1.28,2.1,0.0,0.0,0.0,0.0
9,ARIEGE,FG,0.0,7909.0,6.79,11.17,0.0,0.0,0.0,0.0
9,ARIEGE,FN,0.0,8335.0,7.16,11.77,0.0,0.0,0.0,0.0
9,ARIEGE,NCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,ARIEGE,PRV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,ARIEGE,RDG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,ARIEGE,REG,0.0,1619.0,1.39,2.29,0.0,0.0,0.0,0.0
9,ARIEGE,SOC,1.0,33984.0,29.19,48.01,1.0,22587.0,37.8,67.03
9,ARIEGE,UMP,0.0,14018.0,12.04,19.8,0.0,11108.0,18.59,32.97
9,ARIEGE,VEC,0.0,1907.0,1.64,2.69,0.0,0.0,0.0,0.0
10,AUBE,ALLI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,AUBE,AUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,AUBE,CEN,0.0,3752.0,1.84,3.15,0.0,0.0,0.0,0.0
10,AUBE,DVD,0.0,1737.0,0.85,1.46,0.0,0.0,0.0,0.0
10,AUBE,DVG,0.0,299.0,0.15,0.25,0.0,0.0,0.0,0.0
10,AUBE,ECO,0.0,2010.0,0.99,1.69,0.0,0.0,0.0,0.0
10,AUBE,EXD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,AUBE,EXG,0.0,1194.0,0.59,1.0,0.0,0.0,0.0,0.0
10,AUBE,FG,0.0,4802.0,2.36,4.03,0.0,0.0,0.0,0.0
10,AUBE,FN,0.0,25102.0,12.32,21.06,0.0,9226.0,4.53,8.02
10,AUBE,NCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,AUBE,PRV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,AUBE,RDG,0.0,10703.0,5.25,8.98,0.0,12407.0,6.1,10.78
10,AUBE,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,AUBE,SOC,0.0,23885.0,11.72,20.04,0.0,32919.0,16.18,28.6
10,AUBE,UMP,0.0,45682.0,22.41,38.33,3.0,60534.0,29.74,52.6
10,AUBE,VEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,AUDE,ALLI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,AUDE,AUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,AUDE,CEN,0.0,816.0,0.31,0.5,0.0,0.0,0.0,0.0
11,AUDE,DVD,0.0,853.0,0.32,0.52,0.0,0.0,0.0,0.0
11,AUDE,DVG,0.0,12950.0,4.9,7.95,0.0,0.0,0.0,0.0
11,AUDE,ECO,0.0,1490.0,0.56,0.91,0.0,0.0,0.0,0.0
11,AUDE,EXD,0.0,373.0,0.14,0.23,0.0,0.0,0.0,0.0
11,AUDE,EXG,0.0,3415.0,1.29,2.1,0.0,0.0,0.0,0.0
11,AUDE,FG,0.0,11959.0,4.53,7.34,0.0,0.0,0.0,0.0
11,AUDE,FN,0.0,29968.0,11.35,18.4,0.0,20809.0,7.88,13.76
11,AUDE,NCE,0.0,1266.0,0.48,0.78,0.0,0.0,0.0,0.0
11,AUDE,PRV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,AUDE,RDG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,AUDE,REG,0.0,1730.0,0.66,1.06,0.0,0.0,0.0,0.0
11,AUDE,SOC,0.0,62017.0,23.49,38.07,3.0,91292.0,34.57,60.38
11,AUDE,UMP,0.0,34258.0,12.97,21.03,0.0,39094.0,14.8,25.86
11,AUDE,VEC,0.0,1790.0,0.68,1.1,0.0,0.0,0.0,0.0
12,AVEYRON,ALLI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,AVEYRON,AUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,AVEYRON,CEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,AVEYRON,DVD,0.0,3578.0,1.64,2.54,0.0,0.0,0.0,0.0
12,AVEYRON,DVG,0.0,7213.0,3.31,5.13,0.0,0.0,0.0,0.0
12,AVEYRON,ECO,0.0,820.0,0.38,0.58,0.0,0.0,0.0,0.0
12,AVEYRON,EXD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,AVEYRON,EXG,0.0,1338.0,0.61,0.95,0.0,0.0,0.0,0.0
12,AVEYRON,FG,0.0,8303.0,3.81,5.9,0.0,0.0,0.0,0.0
12,AVEYRON,FN,0.0,11415.0,5.24,8.12,0.0,0.0,0.0,0.0
12,AVEYRON,NCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,AVEYRON,PRV,0.0,1654.0,0.76,1.18,0.0,0.0,0.0,0.0
12,AVEYRON,RDG,0.0,6938.0,3.18,4.93,0.0,0.0,0.0,0.0
12,AVEYRON,REG,0.0,189.0,0.09,0.13,0.0,0.0,0.0,0.0
12,AVEYRON,SOC,0.0,36270.0,16.64,25.79,1.0,51134.0,23.46,37.19
12,AVEYRON,UMP,0.0,49659.0,22.78,35.31,2.0,65071.0,29.86,47.32
12,AVEYRON,VEC,0.0,13277.0,6.09,9.44,0.0,21302.0,9.77,15.49
13,BOUCHES DU RHONE,ALLI,0.0,259.0,0.02,0.03,0.0,0.0,0.0,0.0
13,BOUCHES DU RHONE,AUT,0.0,3692.0,0.28,0.49,0.0,0.0,0.0,0.0
13,BOUCHES DU RHONE,CEN,0.0,7586.0,0.58,1.01,0.0,0.0,0.0,0.0
13,BOUCHES DU RHONE,DVD,0.0,15199.0,1.15,2.03,0.0,0.0,0.0,0.0
13,BOUCHES DU RHONE,DVG,0.0,27093.0,2.06,3.62,0.0,21434.0,1.63,3.0
13,BOUCHES DU RHONE,ECO,0.0,8571.0,0.65,1.14,0.0,0.0,0.0,0.0
13,BOUCHES DU RHONE,EXD,0.0,3363.0,0.26,0.45,0.0,0.0,0.0,0.0
13,BOUCHES DU RHONE,EXG,0.0,5132.0,0.39,0.68,0.0,0.0,0.0,0.0
13,BOUCHES DU RHONE,FG,0.0,72266.0,5.49,9.64,1.0,29919.0,2.27,4.18
13,BOUCHES DU RHONE,FN,0.0,165410.0,12.57,22.07,0.0,153106.0,11.63,21.42
13,BOUCHES DU RHONE,NCE,0.0,3528.0,0.27,0.47,0.0,0.0,0.0,0.0
13,BOUCHES DU RHONE,PRV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,BOUCHES DU RHONE,RDG,0.0,583.0,0.04,0.08,0.0,0.0,0.0,0.0
13,BOUCHES DU RHONE,REG,0.0,133.0,0.01,0.02,0.0,0.0,0.0,0.0
13,BOUCHES DU RHONE,SOC,0.0,169748.0,12.9,22.65,8.0,229916.0,17.47,32.16
13,BOUCHES DU RHONE,UMP,0.0,210481.0,15.99,28.09,6.0,240797.0,18.3,33.68
13,BOUCHES DU RHONE,VEC,0.0,56325.0,4.28,7.52,1.0,39761.0,3.02,5.56
14,CALVADOS,ALLI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
